filename, language, Properties, JavaScript, HTML, comment, blank, total
c:\Users\andro\Desktop\platzi\fundamentosjs\.gitattributes, Properties, 1, 0, 0, 1, 1, 3
c:\Users\andro\Desktop\platzi\fundamentosjs\alcanceFuciones.js, JavaScript, 0, 5, 0, 2, 1, 8
c:\Users\andro\Desktop\platzi\fundamentosjs\arrowFunctions.html, HTML, 0, 0, 12, 0, 0, 12
c:\Users\andro\Desktop\platzi\fundamentosjs\arrowFunctions.js, JavaScript, 0, 14, 0, 3, 4, 21
c:\Users\andro\Desktop\platzi\fundamentosjs\comparaciones.js, JavaScript, 0, 9, 0, 3, 5, 17
c:\Users\andro\Desktop\platzi\fundamentosjs\condicionales.html, HTML, 0, 0, 12, 0, 0, 12
c:\Users\andro\Desktop\platzi\fundamentosjs\condicionales.js, JavaScript, 0, 47, 0, 2, 10, 59
c:\Users\andro\Desktop\platzi\fundamentosjs\for.html, HTML, 0, 0, 12, 0, 0, 12
c:\Users\andro\Desktop\platzi\fundamentosjs\for.js, JavaScript, 0, 20, 0, 5, 4, 29
c:\Users\andro\Desktop\platzi\fundamentosjs\funciones.html, HTML, 0, 0, 14, 0, 0, 14
c:\Users\andro\Desktop\platzi\fundamentosjs\funciones.js, JavaScript, 0, 8, 0, 2, 6, 16
c:\Users\andro\Desktop\platzi\fundamentosjs\objetos.js, JavaScript, 0, 24, 0, 5, 4, 33
c:\Users\andro\Desktop\platzi\fundamentosjs\while.html, HTML, 0, 0, 12, 0, 0, 12
c:\Users\andro\Desktop\platzi\fundamentosjs\while.js, JavaScript, 0, 23, 0, 1, 5, 29
Total, -, 1, 150, 62, 24, 40, 277
